Name,Code,State,Local,RTA,Rate,Effective Date,Expiration Date
COULEE DAM,2403,0.065,0.015,0,0.08,20230401,20230630
ELMER CITY,2404,0.065,0.015,0,0.08,20230401,20230630
NESPELEM,2405,0.065,0.015,0,0.08,20230401,20230630
OKANOGAN CITY,2406,0.065,0.02,0,0.085,20230401,20230630
OMAK,2407,0.065,0.019,0,0.084,20230401,20230630
OROVILLE,2408,0.065,0.019,0,0.084,20230401,20230630
PATEROS,2409,0.065,0.021,0,0.086,20230401,20230630
RIVERSIDE,2410,0.065,0.019,0,0.084,20230401,20230630
TONASKET,2411,0.065,0.02,0,0.085,20230401,20230630
TWISP,2412,0.065,0.022,0,0.087,20230401,20230630
WINTHROP,2413,0.065,0.02,0,0.085,20230401,20230630
OKANOGAN-PTBA,2424,0.065,0.019,0,0.084,20230401,20230630
PACIFIC COUNTY,2500,0.065,0.016,0,0.081,20230401,20230630
ILWACO,2501,0.065,0.016,0,0.081,20230401,20230630
LONG BEACH,2502,0.065,0.018,0,0.083,20230401,20230630
RAYMOND,2503,0.065,0.016,0,0.081,20230401,20230630
SOUTH BEND,2504,0.065,0.016,0,0.081,20230401,20230630
PEND OREILLE COUNTY,2600,0.065,0.012,0,0.077,20230401,20230630
CUSICK,2601,0.065,0.012,0,0.077,20230401,20230630
IONE,2602,0.065,0.012,0,0.077,20230401,20230630
METALINE,2603,0.065,0.012,0,0.077,20230401,20230630
METALINE FALLS,2604,0.065,0.012,0,0.077,20230401,20230630
NEWPORT,2605,0.065,0.012,0,0.077,20230401,20230630
KALISPEL TRIBE - PEND OREILLE COUNTY,2607,0.065,0.012,0,0.077,20230401,20230630
PIERCE COUNTY RTA,2700,0.065,0.029,0,0.094,20230401,20230630
BONNEY LAKE RTA,2701,0.065,0.029,0,0.094,20230401,20230630
BUCKLEY,2702,0.065,0.015,0,0.08,20230401,20230630
CARBONADO,2703,0.065,0.015,0,0.08,20230401,20230630
DUPONT,2704,0.065,0.029,0,0.094,20230401,20230630
EATONVILLE,2705,0.065,0.015,0,0.08,20230401,20230630
FIFE,2706,0.065,0.035,0,0.1,20230401,20230630
FIRCREST,2707,0.065,0.035,0,0.1,20230401,20230630
GIG HARBOR,2708,0.065,0.023,0,0.088,20230401,20230630
MILTON/PIERCE,2709,0.065,0.035,0,0.1,20230401,20230630
ORTING,2710,0.065,0.029,0,0.094,20230401,20230630
PUYALLUP,2711,0.065,0.035,0,0.1,20230401,20230630
ROY,2712,0.065,0.016,0,0.081,20230401,20230630
RUSTON,2713,0.065,0.035,0,0.1,20230401,20230630
SOUTH PRAIRIE,2714,0.065,0.015,0,0.08,20230401,20230630
STEILACOOM,2715,0.065,0.035,0,0.1,20230401,20230630
SUMNER,2716,0.065,0.029,0,0.094,20230401,20230630
TACOMA,2717,0.065,0.038,0,0.103,20230401,20230630
WILKESON,2718,0.065,0.015,0,0.08,20230401,20230630
UNIVERSITY PLACE,2719,0.065,0.035,0,0.1,20230401,20230630
EDGEWOOD,2720,0.065,0.035,0,0.1,20230401,20230630
LAKEWOOD,2721,0.065,0.035,0,0.1,20230401,20230630
PACIFIC/PIERCE,2723,0.065,0.036,0,0.101,20230401,20230630
AUBURN/PIERCE,2724,0.065,0.036,0,0.101,20230401,20230630
NISQUALLY TRIBE - PIERCE COUNTY RTA,2725,0.065,0.029,0,0.094,20230401,20230630
PIERCE-PTBA RTA,2727,0.065,0.035,0,0.1,20230401,20230630
NISQUALLY TRIBE - LAKEWOOD,2731,0.065,0.035,0,0.1,20230401,20230630
PUYALLUP TRIBE - PUYALLUP,2733,0.065,0.035,0,0.1,20230401,20230630
PUYALLUP TRIBE - FIFE,2735,0.065,0.035,0,0.1,20230401,20230630
PUYALLUP TRIBE - MILTON,2737,0.065,0.035,0,0.1,20230401,20230630
PUYALLUP TRIBE - EDGEWOOD,2739,0.065,0.035,0,0.1,20230401,20230630
PUYALLUP TRIBE - TACOMA,2741,0.065,0.038,0,0.103,20230401,20230630
PUYALLUP TRIBE - PIERCE COUNTY PTBA RTA,2745,0.065,0.035,0,0.1,20230401,20230630
PIERCE PTBA - HBZ,2787,0.065,0.021,0,0.086,20230401,20230630
GIG HARBOR HBZ,2788,0.065,0.023,0,0.088,20230401,20230630
PIERCE NON-RTA HBZ,2789,0.065,0.015,0,0.08,20230401,20230630
SAN JUAN COUNTY,2800,0.065,0.018,0,0.083,20230401,20230630
FRIDAY HARBOR,2801,0.065,0.02,0,0.085,20230401,20230630
LUMMI NATION - SAN JUAN COUNTY,2803,0.065,0.018,0,0.083,20230401,20230630
SKAGIT COUNTY,2900,0.065,0.017,0,0.082,20230401,20230630
ANACORTES,2901,0.065,0.023,0,0.088,20230401,20230630
BURLINGTON,2902,0.065,0.021,0,0.086,20230401,20230630
CONCRETE,2903,0.065,0.021,0,0.086,20230401,20230630
HAMILTON,2904,0.065,0.021,0,0.086,20230401,20230630
LA CONNER,2905,0.065,0.021,0,0.086,20230401,20230630
